ph,Hardness,Solids,Chloramines,Sulfate,Conductivity,Organic_carbon,Trihalomethanes,Turbidity,Potability
7.509716170476414,145.97902617130063,838.149356664493,1.144628274912947,19.213754482914997,190.04559953592727,2.9590985203243068,46.682999508542366,3.3901371459284486,0
8.219132561942159,159.82150125335966,783.2390655891129,1.4330112250013856,14.61378164341544,170.05545331342114,2.751091512049129,53.158693119873476,2.8118812643184947,0
7.901362720143617,144.01175522785474,754.648980089867,3.206831932471549,18.18868972834126,297.5643951418532,2.8020747179796643,,3.0893369181196118,0
7.9469110671565275,155.1212009169187,776.4645283985791,2.1823292089420416,15.136364266607384,173.70220539414967,3.3036135935374586,36.39769172965631,3.8693633604210342,0
7.6375404297308265,155.0938852868563,665.8418493465103,1.4726967751610602,8.871655278831476,181.8834494016749,3.3461049986603637,40.321110433744735,2.4732835115668563,0
8.222287178439853,151.56292946546063,810.4590485814458,1.0104112531735643,20.038838750608594,219.14217991416203,2.66720903731187,30.780128144902562,3.674908929821751,0
7.660392982724606,137.91004273393642,807.3300637924568,2.0834984479251304,17.525233285483072,287.6229556455905,2.71705305598219,45.479634684761244,2.042774564782738,0
7.849736024707437,167.93235912889867,639.3356097001218,2.8380255660549176,9.408131463778393,221.21092337296832,3.3121259585214635,31.548271428641634,2.6646857503446757,0
7.969432943751674,149.04453271857972,795.6035617858919,1.4084493411984549,11.06531797458628,329.22965459035555,3.1078333790947408,36.34249975692774,1.9557595829137684,0
7.617159938508235,139.73905151232287,666.6461205653532,1.331703448511434,19.33824775216997,259.3866829068461,3.2172001338281957,24.628082004880746,1.7712981916152688,0
7.270814855854155,138.18636210094388,918.318635940297,1.7783206980506876,17.857321767014145,234.61137258779286,2.617361857277607,51.30514594357774,2.3797893416552665,0
7.672860483795598,144.9089583680495,767.4128183754382,2.7462332731410086,18.40238093992999,174.74339820812088,2.9483011035741784,48.02840157519434,3.8821234925291273,0
7.153409796839523,151.41888611599637,875.1143000720663,1.8229154667287526,12.700185312446793,166.83429183691766,3.192484792306826,35.12423411765404,3.507294009606257,0
7.8616359013622565,138.66650608237208,921.556253316493,2.454561562778817,15.005300876769224,200.06365668220883,3.432387921802887,43.61526824938083,2.3343810792276107,0
7.554318170064493,136.11772541278978,855.1316875187588,1.187823803086748,15.658324302318853,172.45732996705254,2.4726499745464423,39.39158423575589,1.608561409591275,0
7.816805290928564,161.67052803574697,866.2324619524818,2.9210443196982814,21.414422422418706,146.26735186584835,3.1511242622695907,46.67614518284798,1.3140100016832161,0
